Precision,Recall,F1-Score,PR-AUC,ROC-AUC,P@50,R@50,P@100,R@100,P@250,R@250,P@500,R@500,Model,Feature_Set,N_Features
0.22608695652173913,0.22608695652173913,0.22608695652173913,0.23939588300991646,0.6102407696028377,0.46,0.2,0.25,0.21739130434782608,0.108,0.23478260869565218,0.08,0.34782608695652173,XGB-A,A,17
0.45217391304347826,0.45217391304347826,0.45217391304347826,0.4799814052516529,0.7339630246681357,0.92,0.4,0.52,0.45217391304347826,0.224,0.48695652173913045,0.118,0.5130434782608696,XGB-B,B,29
0.48695652173913045,0.48695652173913045,0.48695652173913045,0.5232182435473802,0.7751760090288602,0.96,0.41739130434782606,0.56,0.48695652173913045,0.248,0.5391304347826087,0.134,0.5826086956521739,XGB-C,C,40
